id,area,bbox_y,bbox_x,bbox_h,bbox_w
2,39551,0.0,0.0,191.0,357.0
3,2443,188.0,0.0,84.0,51.0
4,652,193.0,57.0,37.0,34.0
5,2818,223.0,110.0,63.0,84.0
6,8900,104.0,187.0,145.0,153.0
7,4036,84.0,339.0,78.0,97.0
8,2832,57.0,431.0,60.0,81.0
9,833,343.0,34.0,31.0,40.0
10,439,305.0,83.0,19.0,32.0
11,832,214.0,384.0,34.0,45.0
12,4779,394.0,0.0,116.0,84.0
13,2734,331.0,84.0,66.0,117.0
14,2080,289.0,213.0,64.0,66.0
15,2071,414.0,200.0,98.0,50.0
16,5750,296.0,243.0,111.0,141.0
17,357,308.0,166.0,21.0,28.0
18,435,174.0,135.0,27.0,25.0
19,443,278.0,289.0,26.0,25.0
20,512,185.0,332.0,25.0,28.0
21,267,229.0,450.0,21.0,22.0
22,241,268.0,31.0,11.0,25.0
23,677,273.0,27.0,33.0,56.0
24,378,20.0,422.0,27.0,29.0
25,434,26.0,482.0,22.0,30.0
26,215,65.0,343.0,18.0,19.0
