id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,27045,0.0,0.0,373.0,512.0
2,2390,33.0,439.0,71.0,73.0
3,1445,123.0,478.0,57.0,34.0
4,660,173.0,447.0,40.0,31.0
6,531,240.0,371.0,38.0,28.0
7,895,273.0,331.0,35.0,41.0
8,376,228.0,400.0,23.0,23.0
9,442,239.0,416.0,18.0,31.0
10,277,214.0,453.0,17.0,24.0
11,521,233.0,345.0,27.0,24.0
12,467,254.0,271.0,25.0,27.0
13,810,280.0,235.0,31.0,40.0
14,850,352.0,230.0,43.0,31.0
15,1001,340.0,187.0,25.0,52.0
16,1522,291.0,166.0,48.0,59.0
17,891,296.0,132.0,32.0,42.0
18,3005,381.0,69.0,58.0,86.0
19,1130,308.0,75.0,48.0,41.0
20,5123,435.0,4.0,77.0,96.0
21,714,121.0,257.0,36.0,38.0
22,717,454.0,279.0,38.0,28.0
23,182,481.0,326.0,15.0,15.0
24,241,486.0,368.0,19.0,18.0
25,400,488.0,393.0,24.0,21.0
26,264,419.0,431.0,15.0,27.0
27,666,401.0,463.0,24.0,38.0
28,300,495.0,269.0,17.0,28.0
29,312,308.0,311.0,25.0,25.0
30,502,184.0,128.0,33.0,25.0
31,356,211.0,141.0,18.0,29.0
32,211,237.0,124.0,15.0,21.0
33,614,305.0,0.0,32.0,26.0
34,352,298.0,72.0,25.0,19.0
35,371,256.0,67.0,20.0,30.0
36,221,233.0,235.0,15.0,21.0
37,243,238.0,197.0,18.0,20.0
38,334,276.0,199.0,18.0,25.0
39,343,283.0,174.0,25.0,26.0
40,126,332.0,196.0,9.0,21.0
41,383,388.0,59.0,25.0,28.0
42,942,423.0,0.0,46.0,37.0
43,749,164.0,183.0,22.0,50.0
44,445,161.0,232.0,18.0,42.0
45,140,194.0,241.0,13.0,16.0
46,352,202.0,274.0,24.0,26.0
47,233,152.0,321.0,25.0,22.0
48,496,140.0,334.0,29.0,36.0
49,219,137.0,290.0,18.0,22.0
50,189,119.0,305.0,17.0,21.0
51,598,90.0,392.0,45.0,29.0
52,238,40.0,334.0,21.0,23.0
53,820,0.0,462.0,32.0,37.0
54,547,20.0,356.0,32.0,31.0
55,854,16.0,275.0,38.0,42.0
56,986,48.0,232.0,35.0,48.0
57,1656,98.0,184.0,58.0,55.0
