id,area,bbox_y,bbox_x,bbox_h,bbox_w
2,47,33.0,502.0,13.0,10.0
3,426,62.0,339.0,23.0,24.0
4,228,82.0,15.0,17.0,22.0
5,1243,71.0,36.0,50.0,54.0
6,611,74.0,100.0,28.0,29.0
7,276,40.0,125.0,22.0,17.0
8,408,172.0,40.0,33.0,22.0
10,4233,391.0,144.0,94.0,76.0
11,378,491.0,149.0,21.0,24.0
12,2073,360.0,50.0,79.0,45.0
13,784,419.0,104.0,34.0,35.0
14,3369,449.0,42.0,63.0,90.0
15,1969,159.0,125.0,101.0,33.0
16,1255,211.0,168.0,63.0,34.0
17,1464,263.0,147.0,49.0,48.0
18,943,336.0,211.0,37.0,34.0
19,781,294.0,217.0,38.0,29.0
20,483,299.0,356.0,23.0,27.0
21,711,428.0,249.0,32.0,32.0
28,2757,423.0,474.0,89.0,38.0
29,521,170.0,447.0,33.0,23.0
30,4984,0.0,394.0,72.0,118.0
31,846,46.0,357.0,38.0,32.0
32,749,171.0,315.0,30.0,36.0
33,402,260.0,235.0,24.0,24.0
34,696,129.0,358.0,25.0,39.0
35,335,206.0,75.0,24.0,20.0
36,407,260.0,94.0,23.0,23.0
37,359,264.0,43.0,30.0,22.0
38,682,281.0,16.0,38.0,24.0
39,313,0.0,97.0,26.0,20.0
40,90,67.0,124.0,11.0,11.0
41,233,171.0,36.0,20.0,17.0
42,60,221.0,6.0,7.0,11.0
43,66,225.0,0.0,10.0,9.0
44,148,344.0,130.0,16.0,12.0
45,79,354.0,149.0,10.0,10.0
46,82,341.0,164.0,12.0,9.0
47,109,460.0,123.0,13.0,11.0
48,67,483.0,67.0,9.0,10.0
49,72,470.0,80.0,10.0,11.0
50,125,503.0,272.0,9.0,16.0
51,99,470.0,409.0,12.0,11.0
52,120,472.0,419.0,14.0,12.0
53,96,494.0,450.0,12.0,10.0
54,222,471.0,459.0,19.0,15.0
55,232,441.0,406.0,18.0,20.0
56,140,437.0,398.0,15.0,12.0
57,159,431.0,412.0,14.0,15.0
58,129,204.0,461.0,15.0,11.0
59,68,164.0,468.0,12.0,10.0
