id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,2441,0.0,153.0,40.0,78.0
2,425,46.0,37.0,18.0,34.0
3,989,85.0,72.0,41.0,46.0
4,584,57.0,130.0,21.0,35.0
5,690,79.0,119.0,32.0,30.0
6,527,80.0,223.0,20.0,41.0
7,459,74.0,147.0,25.0,30.0
8,380,155.0,11.0,24.0,42.0
9,397,131.0,53.0,21.0,42.0
10,759,137.0,113.0,25.0,50.0
11,423,202.0,121.0,23.0,31.0
12,159,215.0,105.0,13.0,14.0
13,676,235.0,87.0,21.0,46.0
14,1455,202.0,131.0,40.0,71.0
15,629,166.0,159.0,25.0,36.0
16,454,151.0,192.0,22.0,27.0
17,351,180.0,184.0,19.0,29.0
18,731,129.0,223.0,30.0,32.0
19,2051,106.0,244.0,49.0,73.0
20,401,87.0,344.0,22.0,33.0
21,379,80.0,382.0,18.0,33.0
22,424,89.0,398.0,22.0,28.0
23,608,66.0,418.0,21.0,44.0
24,608,34.0,455.0,35.0,29.0
25,459,74.0,465.0,29.0,26.0
26,336,34.0,484.0,16.0,28.0
27,583,85.0,475.0,36.0,37.0
28,431,25.0,329.0,23.0,29.0
29,7738,156.0,266.0,121.0,149.0
30,4832,252.0,235.0,86.0,101.0
31,3713,271.0,91.0,92.0,81.0
32,595,274.0,0.0,38.0,31.0
33,2346,360.0,203.0,56.0,78.0
34,5102,267.0,356.0,105.0,156.0
35,2940,348.0,435.0,58.0,77.0
36,534,227.0,420.0,30.0,44.0
37,251,233.0,460.0,15.0,30.0
38,932,202.0,474.0,42.0,38.0
40,307,402.0,189.0,22.0,20.0
41,4866,447.0,107.0,65.0,129.0
42,978,466.0,445.0,37.0,55.0
43,7524,395.0,364.0,117.0,125.0
44,621,463.0,357.0,45.0,29.0
45,188,332.0,487.0,16.0,15.0
46,822,471.0,50.0,41.0,34.0
47,419,483.0,29.0,29.0,22.0
48,3266,403.0,0.0,109.0,49.0
49,644,400.0,16.0,27.0,35.0
50,407,430.0,31.0,26.0,24.0
51,359,352.0,11.0,26.0,20.0
52,373,413.0,271.0,25.0,23.0
53,322,29.0,278.0,21.0,31.0
54,324,72.0,289.0,15.0,35.0
55,620,283.0,381.0,26.0,36.0
218,97,274.0,63.0,10.0,13.0
219,90,282.0,25.0,11.0,12.0
220,165,339.0,6.0,15.0,18.0
221,102,375.0,29.0,13.0,10.0
222,130,408.0,50.0,12.0,14.0
223,182,440.0,186.0,16.0,15.0
224,151,329.0,282.0,12.0,17.0
225,325,323.0,304.0,21.0,22.0
226,74,270.0,139.0,10.0,12.0
227,266,210.0,233.0,21.0,19.0
228,163,234.0,252.0,18.0,13.0
229,171,250.0,222.0,15.0,14.0
230,230,246.0,149.0,15.0,22.0
231,280,39.0,177.0,18.0,22.0
232,337,31.0,125.0,22.0,21.0
233,105,136.0,165.0,13.0,11.0
234,123,150.0,215.0,13.0,14.0
235,111,205.0,383.0,9.0,18.0
236,152,231.0,343.0,13.0,16.0
237,160,219.0,414.0,14.0,15.0
238,111,243.0,474.0,12.0,14.0
240,393,301.0,496.0,31.0,16.0
241,157,376.0,394.0,13.0,17.0
242,238,382.0,410.0,21.0,17.0
243,237,404.0,474.0,18.0,17.0
244,178,428.0,497.0,16.0,15.0
245,217,456.0,499.0,19.0,13.0
246,303,281.0,204.0,19.0,26.0
247,119,386.0,176.0,10.0,15.0
248,265,396.0,174.0,19.0,18.0
249,163,360.0,199.0,17.0,16.0
250,170,359.0,228.0,15.0,14.0
251,119,349.0,231.0,8.0,18.0
252,91,337.0,222.0,10.0,11.0
253,101,330.0,213.0,8.0,15.0
254,91,314.0,223.0,11.0,13.0
255,90,302.0,226.0,7.0,15.0
256,115,394.0,315.0,10.0,15.0
257,50,406.0,316.0,7.0,10.0
258,89,414.0,319.0,10.0,11.0
259,98,426.0,358.0,15.0,10.0
260,83,364.0,493.0,8.0,14.0
261,111,463.0,64.0,12.0,13.0
262,189,455.0,80.0,16.0,15.0
263,104,106.0,28.0,10.0,14.0
264,253,114.0,27.0,15.0,23.0
265,98,129.0,0.0,10.0,17.0
266,108,501.0,85.0,11.0,13.0
267,222,500.0,113.0,12.0,22.0
268,466,464.0,231.0,27.0,25.0
269,197,461.0,280.0,27.0,9.0
270,126,223.0,178.0,12.0,16.0
271,90,223.0,197.0,11.0,9.0
272,120,238.0,189.0,11.0,15.0
273,213,246.0,172.0,17.0,16.0
274,99,204.0,214.0,12.0,12.0
275,92,183.0,241.0,12.0,12.0
276,126,171.0,261.0,18.0,9.0
277,90,181.0,288.0,16.0,9.0
278,70,172.0,297.0,11.0,10.0
279,119,191.0,303.0,12.0,12.0
280,146,149.0,373.0,14.0,15.0
281,178,112.0,367.0,13.0,17.0
282,136,103.0,316.0,13.0,15.0
283,116,107.0,408.0,11.0,14.0
284,115,158.0,409.0,11.0,13.0
285,93,170.0,414.0,11.0,11.0
286,81,183.0,402.0,11.0,10.0
287,215,138.0,414.0,19.0,16.0
288,97,112.0,495.0,10.0,11.0
289,79,101.0,448.0,10.0,12.0
290,148,101.0,458.0,15.0,14.0
291,151,137.0,441.0,13.0,17.0
292,181,270.0,343.0,12.0,20.0
293,128,268.0,451.0,11.0,16.0
294,209,32.0,413.0,18.0,18.0
295,165,37.0,428.0,17.0,15.0
296,210,34.0,453.0,17.0,16.0
297,56,48.0,437.0,11.0,8.0
298,142,50.0,446.0,14.0,15.0
299,84,43.0,394.0,14.0,8.0
300,145,56.0,393.0,11.0,18.0
301,120,19.0,351.0,10.0,16.0
302,99,22.0,307.0,11.0,13.0
303,89,22.0,325.0,11.0,14.0
304,144,60.0,302.0,14.0,16.0
305,147,40.0,283.0,14.0,14.0
306,146,19.0,239.0,13.0,14.0
307,350,35.0,209.0,21.0,23.0
308,222,60.0,182.0,15.0,19.0
309,202,75.0,188.0,16.0,19.0
311,74,126.0,70.0,8.0,12.0
312,38,125.0,96.0,6.0,9.0
313,49,123.0,110.0,8.0,9.0
314,94,119.0,122.0,12.0,11.0
315,92,81.0,105.0,10.0,12.0
316,240,64.0,85.0,17.0,19.0
317,99,64.0,64.0,11.0,14.0
318,70,77.0,73.0,8.0,10.0
319,177,68.0,42.0,14.0,20.0
320,124,77.0,62.0,14.0,11.0
321,56,86.0,53.0,7.0,9.0
322,105,55.0,95.0,10.0,15.0
