id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,4462,133.0,128.0,78.0,73.0
2,667,113.0,167.0,26.0,39.0
3,808,271.0,16.0,44.0,21.0
4,865,292.0,155.0,42.0,32.0
5,2271,282.0,184.0,67.0,91.0
6,1308,330.0,199.0,48.0,50.0
7,5508,380.0,142.0,84.0,118.0
8,971,346.0,270.0,38.0,38.0
9,4206,312.0,314.0,51.0,111.0
10,1817,260.0,352.0,39.0,72.0
11,4743,160.0,402.0,98.0,81.0
12,5278,36.0,452.0,121.0,60.0
13,601,103.0,344.0,27.0,32.0
14,1686,84.0,271.0,72.0,34.0
15,3011,154.0,205.0,84.0,52.0
16,3262,153.0,288.0,93.0,82.0
17,976,224.0,312.0,38.0,50.0
18,1861,420.0,0.0,39.0,72.0
19,412,398.0,45.0,24.0,28.0
20,226,385.0,255.0,18.0,18.0
21,254,386.0,286.0,15.0,23.0
22,238,77.0,140.0,22.0,15.0
23,225,249.0,17.0,18.0,19.0
24,409,283.0,0.0,30.0,16.0
25,211,273.0,214.0,16.0,18.0
26,160,256.0,199.0,14.0,20.0
27,178,241.0,175.0,20.0,19.0
28,130,90.0,105.0,15.0,13.0
29,126,72.0,108.0,14.0,12.0
30,148,148.0,16.0,13.0,14.0
31,127,241.0,24.0,12.0,13.0
32,121,224.0,59.0,14.0,12.0
33,129,212.0,85.0,15.0,12.0
34,395,274.0,116.0,23.0,23.0
35,105,329.0,115.0,13.0,10.0
36,86,382.0,95.0,14.0,11.0
37,312,444.0,154.0,17.0,24.0
38,205,368.0,124.0,16.0,17.0
39,298,356.0,181.0,24.0,17.0
40,197,204.0,129.0,18.0,14.0
41,175,233.0,143.0,14.0,15.0
42,140,240.0,166.0,14.0,15.0
43,342,241.0,188.0,14.0,32.0
44,121,212.0,161.0,16.0,14.0
45,110,135.0,187.0,10.0,13.0
46,154,150.0,300.0,17.0,14.0
47,274,217.0,276.0,24.0,15.0
48,340,288.0,263.0,23.0,24.0
49,293,230.0,210.0,16.0,25.0
50,151,147.0,346.0,14.0,14.0
51,308,123.0,342.0,20.0,32.0
52,263,196.0,352.0,21.0,18.0
53,338,199.0,313.0,17.0,26.0
54,135,245.0,306.0,13.0,14.0
55,465,272.0,297.0,27.0,41.0
56,217,238.0,388.0,20.0,15.0
57,145,149.0,435.0,15.0,19.0
58,108,169.0,425.0,13.0,12.0
59,103,260.0,284.0,13.0,11.0
60,311,258.0,248.0,29.0,24.0
61,127,232.0,250.0,15.0,12.0
62,113,255.0,216.0,12.0,14.0
63,392,66.0,0.0,18.0,33.0
64,502,13.0,0.0,23.0,27.0
65,328,44.0,28.0,24.0,18.0
66,360,46.0,42.0,22.0,22.0
67,514,32.0,64.0,34.0,21.0
68,463,76.0,34.0,31.0,24.0
69,132,81.0,59.0,14.0,13.0
70,282,81.0,72.0,21.0,19.0
71,253,186.0,12.0,16.0,20.0
72,441,166.0,21.0,30.0,24.0
73,116,171.0,66.0,11.0,15.0
74,280,208.0,31.0,18.0,20.0
75,475,134.0,97.0,19.0,35.0
76,604,156.0,108.0,37.0,21.0
77,636,191.0,70.0,28.0,32.0
78,320,222.0,8.0,32.0,15.0
79,378,237.0,36.0,24.0,21.0
80,132,221.0,50.0,14.0,12.0
81,232,232.0,182.0,11.0,26.0
82,251,184.0,195.0,29.0,17.0
83,340,209.0,173.0,24.0,26.0
84,212,207.0,149.0,15.0,20.0
85,438,271.0,85.0,33.0,22.0
86,409,278.0,60.0,28.0,27.0
87,196,327.0,36.0,17.0,15.0
88,392,337.0,69.0,30.0,23.0
89,447,320.0,81.0,24.0,29.0
90,498,372.0,44.0,29.0,30.0
91,418,387.0,118.0,20.0,33.0
92,173,336.0,123.0,14.0,17.0
93,321,253.0,159.0,20.0,21.0
94,108,273.0,261.0,11.0,13.0
95,235,313.0,239.0,17.0,22.0
96,330,334.0,247.0,28.0,22.0
97,174,292.0,303.0,17.0,15.0
98,113,226.0,316.0,11.0,14.0
99,146,259.0,299.0,14.0,14.0
100,124,310.0,105.0,11.0,16.0
101,179,134.0,295.0,20.0,12.0
102,353,100.0,305.0,17.0,29.0
103,639,116.0,307.0,35.0,26.0
104,319,65.0,327.0,26.0,20.0
105,222,75.0,357.0,16.0,19.0
106,308,82.0,374.0,17.0,24.0
107,238,96.0,408.0,19.0,21.0
108,284,57.0,460.0,35.0,14.0
109,238,30.0,426.0,20.0,18.0
110,91,191.0,343.0,11.0,12.0
111,225,2.0,233.0,21.0,18.0
112,219,17.0,122.0,20.0,16.0
113,177,19.0,499.0,16.0,13.0
114,223,78.0,291.0,17.0,20.0
115,512,121.0,224.0,32.0,26.0
116,100,225.0,396.0,13.0,10.0
117,223,242.0,447.0,20.0,15.0
118,167,273.0,331.0,15.0,17.0
119,237,139.0,431.0,19.0,17.0
120,223,121.0,375.0,23.0,13.0
121,112,39.0,276.0,14.0,11.0
122,386,38.0,296.0,22.0,30.0
123,195,26.0,320.0,20.0,16.0
124,301,9.0,273.0,21.0,19.0
125,420,46.0,249.0,20.0,30.0
126,352,100.0,201.0,18.0,26.0
127,445,129.0,199.0,30.0,22.0
128,184,136.0,242.0,16.0,21.0
129,80,162.0,282.0,12.0,10.0
130,154,160.0,257.0,14.0,14.0
131,203,0.0,364.0,20.0,19.0
132,305,35.0,384.0,28.0,15.0
150,130,327.0,56.0,16.0,11.0
151,219,305.0,68.0,18.0,15.0
152,121,293.0,42.0,13.0,13.0
153,164,313.0,47.0,16.0,16.0
154,144,349.0,55.0,21.0,12.0
155,145,337.0,24.0,13.0,18.0
