id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,8668,0.0,164.0,77.0,211.0
2,2746,11.0,423.0,96.0,51.0
3,751,95.0,397.0,24.0,41.0
4,397,114.0,386.0,23.0,25.0
5,596,133.0,408.0,37.0,25.0
6,1279,141.0,438.0,43.0,52.0
7,1126,122.0,471.0,52.0,41.0
8,601,182.0,480.0,33.0,32.0
9,588,225.0,439.0,23.0,43.0
10,2724,235.0,387.0,57.0,91.0
11,2243,295.0,406.0,40.0,78.0
12,3126,345.0,410.0,57.0,89.0
13,3468,388.0,121.0,95.0,63.0
14,1300,480.0,121.0,32.0,61.0
15,22952,286.0,186.0,226.0,156.0
16,1742,192.0,235.0,72.0,65.0
17,2337,151.0,275.0,60.0,68.0
18,1603,269.0,278.0,55.0,72.0
19,3498,168.0,0.0,80.0,74.0
20,2946,267.0,0.0,93.0,56.0
21,5797,331.0,15.0,137.0,77.0
22,2553,449.0,0.0,63.0,51.0
23,899,115.0,69.0,30.0,44.0
24,489,95.0,121.0,33.0,32.0
25,1499,101.0,155.0,47.0,56.0
26,235,103.0,215.0,19.0,18.0
27,368,144.0,240.0,22.0,23.0
28,189,72.0,225.0,16.0,17.0
29,619,74.0,331.0,34.0,24.0
30,903,229.0,135.0,56.0,38.0
31,394,328.0,151.0,23.0,22.0
35,1033,423.0,454.0,46.0,58.0
36,225,134.0,345.0,18.0,18.0
37,492,24.0,397.0,34.0,23.0
38,1224,0.0,465.0,49.0,47.0
41,216,375.0,0.0,25.0,13.0
42,558,404.0,0.0,47.0,21.0
43,264,286.0,73.0,15.0,25.0
44,540,249.0,88.0,26.0,29.0
45,466,209.0,176.0,22.0,28.0
46,219,244.0,197.0,15.0,20.0
47,338,169.0,121.0,17.0,27.0
48,1985,396.0,376.0,59.0,77.0
49,409,197.0,284.0,23.0,22.0
50,91,4.0,184.0,14.0,9.0
51,98,22.0,236.0,12.0,11.0
52,123,38.0,221.0,13.0,13.0
53,110,50.0,265.0,11.0,14.0
54,105,63.0,288.0,11.0,12.0
55,79,59.0,300.0,11.0,10.0
56,101,5.0,335.0,15.0,9.0
