id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,2686,0.0,13.0,113.0,37.0
2,61,157.0,25.0,11.0,12.0
3,1981,171.0,21.0,90.0,40.0
4,320,163.0,130.0,24.0,18.0
5,390,32.0,108.0,29.0,23.0
6,745,94.0,58.0,57.0,23.0
8,377,267.0,220.0,22.0,27.0
9,10582,0.0,178.0,234.0,129.0
10,3111,134.0,177.0,111.0,42.0
11,35174,0.0,350.0,336.0,162.0
12,941,450.0,350.0,34.0,51.0
13,995,488.0,379.0,24.0,75.0
15,34816,311.0,15.0,201.0,315.0
16,3393,445.0,0.0,67.0,118.0
18,336,303.0,400.0,26.0,20.0
19,323,197.0,498.0,58.0,14.0
20,230,21.0,44.0,20.0,15.0
21,119,44.0,40.0,16.0,14.0
22,262,75.0,46.0,22.0,17.0
23,170,66.0,12.0,18.0,14.0
24,317,100.0,13.0,23.0,17.0
25,88,100.0,44.0,8.0,15.0
26,420,113.0,34.0,25.0,24.0
27,71,149.0,17.0,12.0,9.0
28,57,160.0,33.0,10.0,8.0
29,159,170.0,36.0,13.0,21.0
30,141,186.0,40.0,10.0,19.0
31,131,196.0,41.0,13.0,18.0
32,219,198.0,46.0,23.0,20.0
33,114,51.0,61.0,15.0,13.0
34,64,32.0,95.0,8.0,11.0
35,145,60.0,116.0,12.0,18.0
36,201,13.0,101.0,13.0,21.0
37,166,104.0,104.0,17.0,14.0
38,124,130.0,96.0,11.0,15.0
39,169,167.0,85.0,13.0,17.0
40,150,210.0,89.0,11.0,18.0
41,147,238.0,111.0,12.0,16.0
42,151,237.0,59.0,13.0,14.0
43,153,256.0,69.0,14.0,15.0
44,151,252.0,86.0,18.0,15.0
45,159,275.0,76.0,11.0,18.0
46,89,244.0,45.0,9.0,13.0
47,190,256.0,44.0,16.0,17.0
48,86,197.0,119.0,13.0,8.0
49,88,188.0,135.0,10.0,12.0
50,172,178.0,145.0,17.0,13.0
51,57,197.0,161.0,9.0,8.0
52,348,194.0,171.0,28.0,16.0
53,86,139.0,158.0,16.0,11.0
54,238,144.0,170.0,21.0,15.0
55,55,116.0,166.0,8.0,11.0
56,143,78.0,167.0,15.0,13.0
57,211,44.0,168.0,17.0,16.0
58,180,23.0,196.0,25.0,11.0
59,84,4.0,212.0,8.0,13.0
60,106,15.0,204.0,12.0,12.0
61,144,57.0,234.0,12.0,17.0
62,123,98.0,244.0,13.0,14.0
63,219,108.0,256.0,18.0,21.0
64,191,113.0,279.0,15.0,17.0
65,70,104.0,289.0,11.0,12.0
66,73,87.0,282.0,9.0,11.0
67,118,61.0,261.0,14.0,11.0
68,148,9.0,250.0,14.0,15.0
69,65,0.0,270.0,6.0,14.0
70,50,0.0,284.0,5.0,12.0
71,142,78.0,299.0,17.0,13.0
72,115,100.0,295.0,14.0,12.0
73,93,96.0,281.0,10.0,15.0
74,296,150.0,206.0,20.0,20.0
75,169,118.0,185.0,15.0,15.0
76,190,126.0,208.0,15.0,18.0
77,99,156.0,278.0,12.0,11.0
78,85,138.0,282.0,11.0,11.0
79,95,137.0,272.0,14.0,10.0
80,115,203.0,302.0,12.0,13.0
81,148,168.0,231.0,15.0,13.0
82,75,247.0,258.0,11.0,9.0
83,113,264.0,256.0,12.0,11.0
84,105,280.0,241.0,10.0,14.0
85,115,287.0,223.0,11.0,15.0
86,39,255.0,148.0,7.0,8.0
87,62,282.0,127.0,7.0,11.0
88,111,280.0,113.0,10.0,17.0
89,72,55.0,81.0,11.0,10.0
90,57,48.0,74.0,12.0,7.0
91,81,246.0,157.0,11.0,10.0
92,60,238.0,160.0,7.0,11.0
93,124,248.0,168.0,11.0,15.0
94,134,229.0,174.0,15.0,12.0
95,46,3.0,279.0,9.0,8.0
96,90,16.0,315.0,11.0,11.0
97,81,28.0,316.0,11.0,9.0
98,70,36.0,343.0,8.0,11.0
99,50,27.0,340.0,9.0,9.0
100,126,5.0,354.0,12.0,13.0
101,98,0.0,363.0,7.0,21.0
