id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,175,0.0,11.0,18.0,15.0
2,260,0.0,29.0,20.0,20.0
3,90,34.0,0.0,11.0,10.0
4,62,30.0,12.0,12.0,8.0
5,88,26.0,21.0,14.0,11.0
6,56,65.0,5.0,8.0,10.0
7,51,46.0,12.0,11.0,8.0
8,128,54.0,39.0,13.0,14.0
9,57,63.0,20.0,7.0,10.0
10,194,66.0,26.0,16.0,16.0
11,163,92.0,5.0,17.0,12.0
12,196,0.0,60.0,13.0,20.0
13,208,14.0,59.0,16.0,20.0
14,119,31.0,69.0,13.0,12.0
15,66,44.0,66.0,7.0,11.0
16,137,30.0,37.0,17.0,12.0
17,170,0.0,111.0,19.0,12.0
18,75,23.0,91.0,7.0,12.0
19,54,22.0,78.0,7.0,9.0
20,194,64.0,80.0,18.0,14.0
21,89,84.0,89.0,13.0,10.0
22,147,81.0,48.0,13.0,17.0
24,109,66.0,108.0,15.0,14.0
25,87,87.0,121.0,17.0,10.0
26,134,53.0,141.0,17.0,11.0
27,72,75.0,140.0,12.0,9.0
28,75,99.0,138.0,12.0,8.0
29,116,112.0,4.0,13.0,13.0
30,102,118.0,26.0,11.0,14.0
31,97,100.0,33.0,13.0,10.0
32,89,110.0,94.0,12.0,11.0
33,105,95.0,97.0,12.0,11.0
34,70,88.0,110.0,11.0,9.0
35,105,101.0,79.0,15.0,11.0
36,69,86.0,68.0,10.0,9.0
37,38,90.0,77.0,7.0,7.0
38,150,97.0,60.0,17.0,13.0
39,41,94.0,81.0,7.0,8.0
40,57,59.0,123.0,9.0,9.0
41,113,62.0,100.0,16.0,9.0
42,74,1.0,175.0,12.0,9.0
43,72,10.0,183.0,10.0,9.0
44,72,21.0,167.0,8.0,11.0
45,80,36.0,188.0,11.0,10.0
46,84,42.0,168.0,12.0,9.0
47,45,51.0,174.0,7.0,9.0
48,73,57.0,169.0,9.0,13.0
49,33,64.0,179.0,6.0,8.0
50,56,71.0,181.0,11.0,8.0
51,65,77.0,188.0,8.0,12.0
52,250,67.0,203.0,19.0,19.0
53,140,85.0,165.0,13.0,16.0
54,113,98.0,172.0,9.0,16.0
55,84,115.0,169.0,10.0,13.0
56,76,128.0,199.0,9.0,11.0
57,76,114.0,203.0,11.0,11.0
58,108,126.0,214.0,14.0,11.0
59,85,131.0,169.0,9.0,13.0
60,56,141.0,157.0,8.0,9.0
61,105,166.0,184.0,11.0,12.0
62,213,174.0,162.0,17.0,17.0
63,83,51.0,239.0,11.0,11.0
64,141,74.0,241.0,16.0,13.0
65,67,54.0,253.0,11.0,8.0
66,97,66.0,255.0,8.0,15.0
67,80,84.0,258.0,10.0,10.0
68,89,39.0,259.0,10.0,13.0
69,88,37.0,229.0,12.0,13.0
70,96,1.0,250.0,16.0,8.0
71,48,4.0,268.0,9.0,7.0
72,91,6.0,273.0,10.0,12.0
73,118,15.0,282.0,11.0,16.0
74,93,29.0,293.0,14.0,9.0
75,158,29.0,307.0,15.0,14.0
76,150,15.0,314.0,12.0,19.0
77,107,0.0,294.0,10.0,14.0
78,85,0.0,334.0,14.0,8.0
79,117,0.0,348.0,13.0,14.0
80,103,53.0,343.0,12.0,11.0
81,200,51.0,354.0,23.0,12.0
82,89,70.0,319.0,10.0,12.0
83,143,84.0,301.0,16.0,15.0
84,117,80.0,319.0,10.0,15.0
85,73,102.0,312.0,8.0,12.0
86,171,115.0,328.0,15.0,17.0
87,131,145.0,326.0,13.0,15.0
88,99,143.0,348.0,12.0,11.0
89,84,145.0,305.0,12.0,9.0
90,126,143.0,272.0,14.0,11.0
91,185,161.0,281.0,17.0,16.0
92,128,122.0,295.0,14.0,11.0
93,80,69.0,372.0,9.0,12.0
94,43,60.0,381.0,9.0,7.0
95,62,67.0,386.0,9.0,10.0
96,57,105.0,377.0,12.0,9.0
97,123,150.0,402.0,13.0,12.0
98,82,136.0,376.0,11.0,11.0
99,83,129.0,388.0,10.0,11.0
100,127,171.0,372.0,11.0,16.0
101,169,0.0,407.0,18.0,11.0
102,84,16.0,400.0,10.0,13.0
103,179,22.0,437.0,13.0,18.0
104,63,47.0,412.0,12.0,7.0
105,94,77.0,404.0,12.0,13.0
106,115,82.0,392.0,14.0,12.0
107,70,86.0,383.0,12.0,7.0
108,66,67.0,442.0,7.0,11.0
109,63,72.0,435.0,9.0,9.0
110,96,46.0,449.0,12.0,12.0
111,97,8.0,453.0,12.0,11.0
112,82,0.0,466.0,15.0,8.0
113,109,0.0,476.0,13.0,10.0
114,145,0.0,485.0,10.0,18.0
115,44,19.0,490.0,7.0,9.0
116,76,43.0,491.0,10.0,9.0
117,145,76.0,497.0,14.0,15.0
118,82,147.0,479.0,13.0,9.0
119,94,159.0,490.0,8.0,15.0
120,52,170.0,447.0,9.0,7.0
121,110,202.0,461.0,12.0,13.0
122,113,218.0,421.0,12.0,12.0
123,79,70.0,479.0,12.0,10.0
124,72,70.0,469.0,11.0,9.0
125,93,213.0,367.0,12.0,10.0
126,82,195.0,368.0,10.0,12.0
127,110,207.0,411.0,9.0,14.0
128,108,195.0,433.0,12.0,11.0
129,62,169.0,478.0,10.0,9.0
130,200,172.0,490.0,18.0,15.0
131,87,115.0,417.0,13.0,10.0
132,111,133.0,439.0,13.0,14.0
133,50,156.0,462.0,7.0,9.0
134,48,164.0,459.0,8.0,8.0
135,42,166.0,468.0,7.0,8.0
136,143,133.0,466.0,14.0,13.0
137,50,126.0,475.0,7.0,9.0
138,69,135.0,482.0,10.0,9.0
139,123,134.0,494.0,11.0,14.0
140,119,115.0,462.0,11.0,13.0
142,129,92.0,462.0,15.0,12.0
143,69,92.0,486.0,9.0,10.0
144,64,87.0,422.0,11.0,9.0
145,178,100.0,449.0,15.0,18.0
146,103,138.0,416.0,10.0,13.0
147,105,155.0,377.0,13.0,13.0
148,110,179.0,348.0,15.0,11.0
149,58,204.0,333.0,8.0,9.0
150,30,221.0,337.0,8.0,6.0
151,124,214.0,341.0,14.0,14.0
152,41,65.0,416.0,9.0,6.0
153,63,66.0,421.0,9.0,10.0
154,77,57.0,429.0,10.0,10.0
155,65,11.0,381.0,14.0,6.0
156,111,17.0,386.0,16.0,12.0
157,82,0.0,390.0,8.0,12.0
158,147,46.0,325.0,15.0,13.0
159,192,30.0,332.0,15.0,17.0
160,137,151.0,254.0,11.0,16.0
161,97,170.0,251.0,12.0,10.0
162,90,191.0,270.0,13.0,12.0
163,61,111.0,391.0,9.0,11.0
164,216,100.0,381.0,15.0,21.0
165,58,109.0,429.0,9.0,9.0
166,68,94.0,438.0,11.0,11.0
167,111,88.0,443.0,12.0,12.0
168,627,0.0,0.0,36.0,27.0
169,428,43.0,0.0,46.0,14.0
170,317,90.0,125.0,23.0,20.0
171,288,54.0,181.0,25.0,19.0
172,204,2.0,499.0,19.0,13.0
173,2399,194.0,465.0,65.0,47.0
174,592,338.0,443.0,29.0,27.0
175,444,329.0,471.0,27.0,23.0
