id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,412,81.0,31.0,21.0,27.0
2,580,125.0,27.0,22.0,35.0
3,1202,133.0,66.0,34.0,56.0
4,4063,58.0,127.0,68.0,101.0
5,211,188.0,0.0,29.0,11.0
6,194,279.0,25.0,15.0,18.0
7,1024,296.0,0.0,46.0,50.0
8,847,320.0,20.0,45.0,32.0
9,371,372.0,6.0,26.0,27.0
10,6870,178.0,93.0,132.0,89.0
11,2410,309.0,243.0,67.0,79.0
12,3605,391.0,258.0,98.0,63.0
13,497,457.0,412.0,29.0,22.0
14,668,451.0,450.0,42.0,26.0
15,2627,398.0,430.0,53.0,71.0
16,378,324.0,394.0,25.0,22.0
17,551,339.0,401.0,43.0,24.0
18,379,386.0,390.0,24.0,21.0
19,532,270.0,339.0,29.0,26.0
20,779,275.0,385.0,41.0,36.0
21,874,218.0,441.0,31.0,41.0
22,1023,108.0,368.0,37.0,53.0
24,3404,17.0,392.0,94.0,105.0
25,2852,0.0,391.0,61.0,68.0
26,186,70.0,36.0,14.0,19.0
27,221,99.0,52.0,19.0,15.0
28,150,130.0,89.0,12.0,18.0
29,260,148.0,48.0,16.0,20.0
30,169,168.0,50.0,12.0,19.0
31,213,181.0,49.0,17.0,16.0
32,346,174.0,80.0,22.0,25.0
33,61,267.0,28.0,9.0,9.0
34,83,278.0,0.0,14.0,8.0
35,72,282.0,7.0,8.0,11.0
36,99,294.0,13.0,11.0,16.0
37,156,299.0,60.0,17.0,12.0
38,117,277.0,86.0,13.0,11.0
39,136,301.0,77.0,13.0,13.0
40,88,305.0,92.0,10.0,11.0
41,214,328.0,99.0,17.0,18.0
42,191,102.0,120.0,14.0,21.0
43,174,142.0,121.0,12.0,18.0
44,168,0.0,118.0,16.0,15.0
45,185,1.0,149.0,17.0,15.0
46,243,14.0,159.0,16.0,24.0
47,241,33.0,166.0,18.0,19.0
48,250,39.0,149.0,19.0,20.0
49,116,54.0,145.0,11.0,14.0
50,174,44.0,181.0,15.0,13.0
51,313,22.0,188.0,22.0,21.0
52,177,0.0,190.0,15.0,17.0
53,129,8.0,216.0,12.0,16.0
54,221,0.0,224.0,14.0,21.0
55,298,20.0,233.0,18.0,22.0
56,257,44.0,224.0,15.0,27.0
57,231,59.0,204.0,12.0,25.0
58,91,74.0,232.0,10.0,12.0
59,109,91.0,226.0,10.0,15.0
60,182,110.0,235.0,17.0,16.0
61,249,119.0,215.0,16.0,19.0
62,128,104.0,216.0,11.0,17.0
63,135,111.0,193.0,13.0,14.0
64,133,126.0,173.0,10.0,20.0
65,168,143.0,167.0,12.0,20.0
66,77,159.0,164.0,9.0,13.0
67,260,171.0,158.0,15.0,21.0
68,136,164.0,148.0,15.0,11.0
69,172,161.0,111.0,14.0,18.0
70,129,183.0,108.0,17.0,13.0
71,61,217.0,165.0,9.0,8.0
72,148,228.0,183.0,16.0,12.0
73,64,230.0,172.0,11.0,9.0
74,120,200.0,182.0,12.0,13.0
75,171,211.0,194.0,15.0,14.0
76,232,179.0,201.0,23.0,20.0
77,147,151.0,201.0,14.0,13.0
78,94,141.0,214.0,13.0,13.0
