id,area,bbox_y,bbox_x,bbox_h,bbox_w
1,6541,29.0,379.0,101.0,133.0
2,6812,91.0,243.0,129.0,187.0
3,2866,385.0,153.0,61.0,95.0
4,1360,454.0,114.0,38.0,70.0
5,2400,453.0,23.0,59.0,56.0
6,2484,466.0,392.0,46.0,73.0
7,7369,337.0,238.0,126.0,137.0
8,2061,300.0,0.0,61.0,68.0
9,1495,200.0,0.0,100.0,37.0
10,777,353.0,229.0,30.0,33.0
11,708,418.0,129.0,36.0,43.0
12,362,25.0,216.0,19.0,26.0
13,717,0.0,190.0,22.0,43.0
14,1423,66.0,108.0,63.0,50.0
15,1052,120.0,221.0,40.0,38.0
16,393,22.0,164.0,31.0,17.0
17,247,98.0,161.0,22.0,18.0
18,309,94.0,192.0,18.0,21.0
19,392,10.0,260.0,25.0,19.0
21,235,39.0,255.0,15.0,26.0
22,728,3.0,299.0,41.0,34.0
23,629,61.0,267.0,28.0,29.0
24,230,59.0,246.0,15.0,21.0
25,269,179.0,399.0,21.0,24.0
26,297,170.0,419.0,16.0,23.0
27,627,190.0,424.0,25.0,34.0
28,548,174.0,467.0,26.0,31.0
29,371,184.0,333.0,27.0,23.0
30,380,204.0,227.0,26.0,23.0
31,297,66.0,493.0,21.0,19.0
32,173,33.0,458.0,15.0,17.0
33,871,0.0,392.0,27.0,44.0
34,437,376.0,374.0,23.0,29.0
35,643,372.0,336.0,32.0,30.0
36,506,354.0,258.0,32.0,31.0
37,335,342.0,284.0,24.0,25.0
38,263,323.0,273.0,15.0,25.0
39,252,305.0,261.0,20.0,20.0
40,542,481.0,368.0,28.0,32.0
41,200,494.0,141.0,18.0,17.0
42,2504,96.0,37.0,84.0,101.0
43,256,135.0,29.0,15.0,21.0
44,176,143.0,11.0,16.0,16.0
45,350,27.0,24.0,22.0,23.0
46,1045,0.0,88.0,34.0,38.0
47,358,28.0,136.0,18.0,28.0
48,437,40.0,117.0,28.0,23.0
49,140,82.0,93.0,13.0,15.0
50,95,97.0,70.0,14.0,10.0
51,57,147.0,101.0,9.0,9.0
52,85,160.0,116.0,10.0,12.0
53,212,129.0,143.0,15.0,18.0
54,138,116.0,166.0,13.0,14.0
55,100,69.0,154.0,12.0,12.0
56,240,90.0,140.0,16.0,21.0
57,252,114.0,207.0,19.0,18.0
58,241,188.0,191.0,18.0,18.0
59,324,198.0,244.0,24.0,18.0
60,269,220.0,252.0,19.0,16.0
61,158,166.0,235.0,14.0,18.0
62,183,190.0,111.0,16.0,14.0
63,154,217.0,121.0,15.0,13.0
64,509,94.0,273.0,27.0,25.0
65,341,119.0,314.0,22.0,24.0
66,426,167.0,367.0,21.0,27.0
67,268,168.0,340.0,19.0,20.0
68,259,148.0,354.0,14.0,24.0
69,187,258.0,176.0,15.0,20.0
70,198,295.0,216.0,12.0,20.0
71,64,290.0,232.0,8.0,11.0
72,136,229.0,208.0,12.0,15.0
73,63,261.0,222.0,8.0,11.0
74,61,58.0,373.0,7.0,11.0
75,167,28.0,415.0,13.0,19.0
76,159,62.0,466.0,13.0,17.0
77,85,56.0,403.0,10.0,12.0
